no,space_name,class,is_parking,matched_keywords,n_rows,area_sum_m2
90325,기계실/물탱크실(상가),비공조,N,기계실|기계|물탱|물탱크|탱크,1,112.7
90326,"계단실,승강기,화장실,홀,복도,감시제어반실,창고(상가)",비공조,N,계단|계단실|승강기|화장실|복도,1,100.5
90327,"기계실,co2실,선큰",비공조,N,기계실|기계,1,52.5
90328,"기전실,홀식당,기계식주차장",비공조,Y,주차|주차장|기계|기전|전실,1,767.1
90329,"주차pit,기계실",비공조,Y,주차|기계실|기계,1,155.8
90330,"로비,계단실,홀,화장실,elev실",비공조,N,계단|계단실|elev|화장실,1,149.3
90331,"물탱크,승강기장,계단",비공조,N,계단|승강기|물탱|물탱크|탱크,1,50.7
90332,"기타업무시설(계단실,코아)",비공조,N,계단|계단실,1,136.8
90333,"전기실,발전기(실),계단실통로",비공조,N,계단|계단실|전기실|전기|발전|통로,1,144.4
90334,"어린이집(기계실,다목적실,주방)",비공조,N,기계실|기계,1,138.1
90335,"계단실10.08,물탱크실9.36(연면적제외)",비공조,N,계단|계단실|물탱|물탱크|탱크|연면적제외|면적제외,1,19.4
90336,"발전기실,제연실,방재실,mdf실",비공조,N,전기실|전기|발전|mdf|방재실,1,73.6
90337,"로비,주차관리실,우편함실",비공조,Y,주차,1,47.9
90338,어린이집-연면적제외,비공조,N,연면적제외|면적제외,1,24.2
90339,"지하주차장,기계,전기,발전기실,계단실,elev",비공조,Y,계단|계단실|elev|주차|주차장|기계|전기실|전기|발전,1,3495.2
90340,"지하주차장,관리사무소,근린생활시설",비공조,Y,주차|주차장,1,3493.8
90341,"전기펌프실,기사대기실",비공조,N,전기|펌프,1,211.5
90342,"다가구주택(2가구)52.92㎡,주차장64.26㎡",비공조,Y,주차|주차장,1,117.2
90343,스프링클러펌프실,비공조,N,펌프,1,42.7
90344,계단실/주차장(121.79㎡연면적제외),비공조,Y,계단|계단실|주차|주차장|연면적제외|면적제외,1,14.7
90345,기계실및창고(연면적제외),비공조,N,기계실|기계|연면적제외|면적제외,1,15.9
90346,주차장/(다용도실46.21),비공조,Y,주차|주차장,1,97.1
90347,"기계실,전기실,우수조관리층",비공조,N,기계실|기계|전기실|전기|우수|수조,1,1396.7
90348,다세대주택(주차장(25.13)다세대주택1세대(52.26)),비공조,Y,주차|주차장,1,77.4
90349,"다세대주택(1),주차장(27.24)",비공조,Y,주차|주차장,1,73.4
90350,"다세대주택(1세대),주차장(54.39)",비공조,Y,주차|주차장,1,131.7
90351,"근생99.99,주차장36.00",비공조,Y,주차|주차장,1,136.0
90352,기계실(상가5),비공조,N,기계실|기계,1,593.1
